,model,params,MAE,MSE,R2
3,LassoRegression,alpha=10,121817.66854265917,58604388137.3412,0.9081813272926896
1,LinearRegression,,133138.51311399485,73851884707.49634,0.8842922476234342
2,LassoRegression,"no_neigh,alpha=100",336573.567114212,320584692248.8774,0.4977225790056863
0,LinearRegression,"no_neigh,",338471.29696773656,323376806635.4778,0.4933480219942926
